tradedate,ticker,price_last
2023-01-02,"PETR4       ",22.92
2023-01-03,"PETR4       ",22.34
2023-01-04,"PETR4       ",23.05
2023-01-05,"PETR4       ",23.88
2023-01-06,"PETR4       ",23.74
2023-01-09,"PETR4       ",23.87
2023-01-10,"PETR4       ",24.09
2023-01-11,"PETR4       ",24.28
2023-01-12,"PETR4       ",24.63
2023-01-13,"PETR4       ",24.57
2023-01-16,"PETR4       ",24.04
2023-01-17,"PETR4       ",25.52
2023-01-18,"PETR4       ",25.07
2023-01-19,"PETR4       ",25.83
2023-01-20,"PETR4       ",26.37
2023-01-23,"PETR4       ",26.79
2023-01-24,"PETR4       ",26.6
2023-01-25,"PETR4       ",26.94
2023-01-26,"PETR4       ",26.2
2023-01-27,"PETR4       ",25.62
2023-01-30,"PETR4       ",25.75
2023-01-31,"PETR4       ",26.07
2023-02-01,"PETR4       ",25.71
2023-02-02,"PETR4       ",24.52
2023-02-03,"PETR4       ",24.79
2023-02-06,"PETR4       ",25.78
2023-02-07,"PETR4       ",25.62
2023-02-08,"PETR4       ",26.05
2023-02-09,"PETR4       ",25.93
2023-02-10,"PETR4       ",26.72
2023-02-13,"PETR4       ",26.8
2023-02-14,"PETR4       ",26.7
2023-02-15,"PETR4       ",26.74
2023-02-16,"PETR4       ",26.85
2023-02-17,"PETR4       ",26.44
2023-02-22,"PETR4       ",25.76
2023-02-23,"PETR4       ",26.55
2023-02-24,"PETR4       ",25.97
2023-02-27,"PETR4       ",26.15
2023-02-28,"PETR4       ",25.24
2023-03-01,"PETR4       ",25.3
2023-03-02,"PETR4       ",24.64
2023-03-03,"PETR4       ",25.7
2023-03-06,"PETR4       ",25.96
2023-03-07,"PETR4       ",25.1
2023-03-08,"PETR4       ",25.42
2023-03-09,"PETR4       ",25.31
2023-03-10,"PETR4       ",24.98
2023-03-13,"PETR4       ",24.19
2023-03-14,"PETR4       ",23.76
2023-03-15,"PETR4       ",23.34
2023-03-16,"PETR4       ",23.26
2023-03-17,"PETR4       ",23.51
2023-03-20,"PETR4       ",22.93
2023-03-21,"PETR4       ",23.4
2023-03-22,"PETR4       ",23.33
2023-03-23,"PETR4       ",22.8
2023-03-24,"PETR4       ",22.79
2023-03-27,"PETR4       ",23.18
2023-03-28,"PETR4       ",23.59
2023-03-29,"PETR4       ",23.9
2023-03-30,"PETR4       ",23.97
2023-03-31,"PETR4       ",23.45
2023-04-03,"PETR4       ",24.49
